	寒山落木　卷一
【同觀音堂】	寒山落木　卷一
むら鳥のさわぐ處や初櫻	寒山落木　卷一
散る梅は祗王櫻はほとけ哉	寒山落木　卷一
【上野】	寒山落木　卷一
花の雲かゝりにけりな人の山	寒山落木　卷一
【清水氏一周忌】	寒山落木　卷一
花樹にかへれど人の行へ哉	寒山落木　卷一
ぬれ足で雀のあるく廊下かな	寒山落木　卷一
名月の出るやゆらめく花薄	寒山落木　卷一
けさりんと体のしまりや秋の立つ	寒山落木　卷一
茶の花や利休の像を床の上	寒山落木　卷一
甘干の枝村かけてつゞきけり	寒山落木　卷一
甘干にしたし浮世の人心	寒山落木　卷一
初汐やつなぐ處に迷ふ舟	寒山落木　卷一
夕立や一かたまりの雲の下	寒山落木　卷一
宵闇や薄に月のいづる音	寒山落木　卷一
親鳥のぬくめ心地や玉子酒	寒山落木　卷一
白梅にうすもの着せん煤拂	寒山落木　卷一
何もかもすみて巨燵に年暮るゝ	寒山落木　卷一
明治二十一年	寒山落木　卷一
花に行く足に二日の灸かな	寒山落木　卷一
燒くや胡蝶の羽のくすぶるか	寒山落木　卷一
見ればたゞ水の色なる小鮎哉	寒山落木　卷一
梅雨晴やところ／＼に蟻の道	寒山落木　卷一
すつと出て莟見ゆるや杜若	寒山落木　卷一
萎みたる花に花さく杜若	寒山落木　卷一
底見えて小魚も住まぬ清水哉	寒山落木　卷一
の枝に頭陀かけてそこに晝寐哉	寒山落木　卷一
蚊柱や蚊遣の烟のよけ具合	寒山落木　卷一
夕立の來て蚊柱を崩しけり	寒山落木　卷一
振袖をしぼりて洗ふ硯哉	寒山落木　卷一
女にも生れて見たき踊哉	寒山落木　卷一
萩ちるや檐に掛けたる青燈籠	寒山落木　卷一
西日さす地藏の笠に蜻蛉哉	寒山落木　卷一
鹿聞て出あるく人も歸りけり	寒山落木　卷一
一ひらの花にあつまる目高哉	寒山落木　卷一
海原や何の苦もなく上る月	寒山落木　卷一
くらがりの天地にひゞく花火哉	寒山落木　卷一
青／＼と障子にうつるはせを哉	寒山落木　卷一
秋の蚊や疊にそふて低く飛ぶ	寒山落木　卷一
哀れにも來て秋の蚊の殺さるゝ	寒山落木　卷一
狼の聲も聞こゆる夜寒かな	寒山落木　卷一
不二こえたくたびれや隅田の雁	寒山落木　卷一
夕榮や雁一つらの西の空	寒山落木　卷一
片端は山にかゝるや天の川	寒山落木　卷一
【いとけなき頃よりはぐゝまれし嫗のみまかり給ひしと聞くに力を失ひて】	寒山落木　卷一
添竹も折れて地に伏す瓜の花	寒山落木　卷一
聲立てぬ別れやあはれ暖鳥	寒山落木　卷一
一夜妻ならであはれや暖鳥	寒山落木　卷一
雪よりも時雨にもろし冬牡丹	寒山落木　卷一
白露のおきあまりてはこぼれけり	寒山落木　卷一
【根津のあとにて】	寒山落木　卷一
明家やところ／＼に猫の戀	寒山落木　卷一
枯木明治己丑廿二年	寒山落木　卷一
高砂の松の二タ子が門の松	寒山落木　卷一
我庭に一本さきしすみれ哉	寒山落木　卷一
の花下より見れば花の山	寒山落木　卷一
鳥なくや獨りたゝすむ花の奧	寒山落木　卷一
つくねんと大佛たつや五月雨	寒山落木　卷一
五月雨の晴間や屋根を直す音	寒山落木　卷一
つきあたる一いきに燕哉	寒山落木　卷一
【村園門巷多相似】	寒山落木　卷一
燕や間違へさうな家の向き	寒山落木　卷一
白砂のきら／＼とする熱さ哉	寒山落木　卷一
蓮の葉にうまくのつたる蛙哉	寒山落木　卷一
屋根葺の草履であがる熱哉	寒山落木　卷一
燕の飛ぶや町家の藏がまへ	寒山落木　卷一
七夕に團扇をかさん殘暑哉	寒山落木　卷一
秋風はまだこえかねつ雲の峰	寒山落木　卷一
一日の旅おもしろや萩の原	寒山落木　卷一
白露や原一ぱいの星月夜	寒山落木　卷一
茸狩や友呼ぶこゑも秋の風	寒山落木　卷一
おのが荷に追はれて淋し芒賣	寒山落木　卷一
【琴平】	寒山落木　卷一
の緑したゝる奧の宮居哉	寒山落木　卷一
水鳥や蘆うら枯れて夕日影	寒山落木　卷一
澁や行來のしげき道の端	寒山落木　卷一
の實やうれしさうにもなく烏	寒山落木　卷一
澁のとり殘されてあはれ也	寒山落木　卷一
【内藤先生等と言志會を結びし時】	寒山落木　卷一
澁もまじりてともに盆の中	寒山落木　卷一
【鬼女腕を奪ひ去る圖に】	寒山落木　卷一
凩に舞ひあがりたる落葉哉	寒山落木　卷一
雪の跡さては酒屋か豆腐屋か	寒山落木　卷一
【傾城戀飛脚〔三句〕	寒山落木　卷一
芒尾花はなけれとも世を忍ふ身の】	寒山落木　卷一
招く手はなけれど淋し枯薄	寒山落木　卷一
【こゝらあたりに見なれぬ女中】	寒山落木　卷一
いぶかしや賤が伏家の冬牡丹	寒山落木　卷一
【ものいはず顏見ずと手さきへなとさはつたら】	寒山落木　卷一
闇の夜は鼻で探るや梅の花	寒山落木　卷一
【袋井】	寒山落木　卷一
冬枯の中に家居や村一つ	寒山落木　卷一
【垂井】	寒山落木　卷一
雪のある山も見えけり上り阪	寒山落木　卷一
【京都】	寒山落木　卷一
祗園清水冬枯もなし東山	寒山落木　卷一
明治二十三年（紀元二千五百五十年）	寒山落木　卷一
元日や一輪開く福壽艸	寒山落木　卷一
盆栽に梅の花あり冬こもり	寒山落木　卷一
白雪をつんで小舟の流れけり	寒山落木　卷一
胡蝶飛び風吹き胡蝶又來る	寒山落木　卷一
蝶ふたつ風にもつれて水の上	寒山落木　卷一
蝶飛ぶや山は霞に遠くなる	寒山落木　卷一
櫻から人にうつるや山の風	寒山落木　卷一
若草や草履の裏に塵もなし	寒山落木　卷一
垣ごしに丁子の花の匂ひかな	寒山落木　卷一
一枝の花おもさうや酒の醉	寒山落木　卷一
傘に落つる櫻の雫かな	寒山落木　卷一
朧とは櫻の中の柳かな	寒山落木　卷一
人黒し朧月夜の花あかり	寒山落木　卷一
月落ちて鴉鳴く也花明り	寒山落木　卷一
牛飼も牛も眠るや桃の花ノ句繋がれて牛も眠るやもゝの花	寒山落木　卷一
あたゝかな雨がふるなり枯葎	寒山落木　卷一
春の月一重の雲にかくれけり	寒山落木　卷一
夕月や簾に動く花の影	寒山落木　卷一
家根舟の提灯多し朧月	寒山落木　卷一
【向嶋】	寒山落木　卷一
土手三里花をはなれぬ月夜哉	寒山落木　卷一
菜の花やはつとあかるき町はつれ	寒山落木　卷一
家の上に雲雀鳴きけり町はづれ	寒山落木　卷一
半日は空にあそぶや舞雲雀	寒山落木　卷一
みなし子のひとりで遊ぶ雛哉	寒山落木　卷一
駒の尾に春の風吹く牧場哉	寒山落木　卷一
したか落ちたか路の椿かな	寒山落木　卷一
海棠や檐に鸚鵡の宙がへり	寒山落木　卷一
一輪の牡丹咲きたる小庭哉	寒山落木　卷一
桃さくや三寸程の上り鮎	寒山落木　卷一
【梅見の記の後に題す】	寒山落木　卷一
鶯やとなりつたひに梅の花	寒山落木　卷一
紫の水も蜘手に杜若	寒山落木　卷一
瓜小屋にひとり肌ぬぐ月夜哉	寒山落木　卷一
稻妻にひらりと桐の一葉哉	寒山落木　卷一
散りやすきものから吹くや秋の風	寒山落木　卷一
稻妻にうち消されけり三日の月	寒山落木　卷一
朝顏にわれ恙なきあした哉	寒山落木　卷一
ほの／″＼に朝顏見るや一重	寒山落木　卷一
朝顏や我筆先に花も咲け	寒山落木　卷一
夕暮に朝顏の葉のならびけり	寒山落木　卷一
朝顏や氣儘に咲いておもしろき	寒山落木　卷一
朝顏や夢裡の美人は消えて行く	寒山落木　卷一
その鐘をわれに撞かせよ秋の暮	寒山落木　卷一
遊ぶ子のひとり歸るや秋のくれ	寒山落木　卷一
魂祭ふわ／＼と來る秋の蝶	寒山落木　卷一
水流れ芒招くやされかうべ	寒山落木　卷一
月落ちて灯のあるかたや小夜砧	寒山落木　卷一
名月や角田川原に吾一人	寒山落木　卷一
名月や美人の顏の片あかり	寒山落木　卷一
名月やともし火白く犬黒し	寒山落木　卷一
湖やともし火消えて月一ツ	寒山落木　卷一
明月は瀬田から膳所へ流れけり	寒山落木　卷一
【三井寺】	寒山落木　卷一
我宿にはいりさう也昇る月	寒山落木　卷一
凩や迷ひ子探す鉦の音	寒山落木　卷一
明治廿四年辛卯年（紀元二千五百五十一年）	寒山落木　卷一
〔廿四年春〕	寒山落木　卷一
うそ／＼と蝨はひけり菴の春	寒山落木　卷一
元朝や虚空暗く只不二許り	寒山落木　卷一
のら者もあつてめでたし御代の春	寒山落木　卷一
猫の顏もみがきあげたり玉の春	寒山落木　卷一
初空や烏は黒く富士白し	寒山落木　卷一
紅梅は娘たのんで折らせけり	寒山落木　卷一
紅梅や翠簾のすき影衣の音	寒山落木　卷一
紅梅や垣をへだてゝ娘同士	寒山落木　卷一
梅さくや藁屋四五軒犬の聲	寒山落木　卷一
紅梅はまばら也けり窓の影	寒山落木　卷一
水鳥のつゝき出したる根芹哉	寒山落木　卷一
制札にちりかゝりけり山櫻	寒山落木　卷一
【植半】	寒山落木　卷一
八重櫻咲きけり芋に蜆汁	寒山落木　卷一
蓮花草我も一度は小供なり	寒山落木　卷一
草籠をおいて人なし春の山	寒山落木　卷一
兩側の竹藪長し赤椿	寒山落木　卷一
馬の背に手を出して見る椿哉	寒山落木　卷一
一むねは花にうもるや赤椿	寒山落木　卷一
女にも生れて見たし花菫	寒山落木　卷一
【行脚の笠に題す】	寒山落木　卷一
道づれは胡蝶をたのむ旅路哉	寒山落木　卷一
【回文】	寒山落木　卷一
松の戸や春を薫るは宿の妻	寒山落木　卷一
白魚や氷の中に生れけむ	寒山落木　卷一
神代より誰か教へて猫の戀	寒山落木　卷一
哥よまばやさしかるべきに猫の戀	寒山落木　卷一
戀猫はあらきこゑさへあはれなり	寒山落木　卷一
内でなけば外でもなくやうかれ猫	寒山落木　卷一
【古白よりある人の聟養子に行きたることをいひおこせし返しに】	寒山落木　卷一
【小糠三合あれはとは昔語りに殘りたれとこれは又打て變つて聟殿の權柄】	寒山落木　卷一
淺ましやもらふた日より猫の戀	寒山落木　卷一
あとさきもしらぬ心や花に鳥	寒山落木　卷一
二三日はちりさかりけり山さくら	寒山落木　卷一
花ちるや寂然として石佛	寒山落木　卷一
あくびした口に花ちる日永哉	寒山落木　卷一
ならんたる鳥居の赤し山櫻	寒山落木　卷一
【品川】	寒山落木　卷一
上總までかちわたりせん汐干潟	寒山落木　卷一
【市川】	寒山落木　卷一
ち行けば隣のくにや揚雲雀	寒山落木　卷一
うつ杖のはづれて嬉しとぶ胡蝶	寒山落木　卷一
鶯の聲の細さよ岨五丈	寒山落木　卷一
うくひすや落花紛たり手水鉢	寒山落木　卷一
わらじの緒結ぶや笠にとぶ胡蝶	寒山落木　卷一
馬ほく／＼吹くともなしの春の風	寒山落木　卷一
陽炎や南無とかいたる笠の上	寒山落木　卷一
菜の花の中に道あり一軒家	寒山落木　卷一
鶯や山をいづれば誕生寺	寒山落木　卷一
七浦や安房を動かす波の音	寒山落木　卷一
七情の外の姿や涅槃像	寒山落木　卷一
廿四年夏	寒山落木　卷一
【田舍】	寒山落木　卷一
屋のむねのあやめゆるくや石の臼	寒山落木　卷一
水汲んだあとの濁りや杜若	寒山落木　卷一
花ひとつ折れて流るゝ菖蒲かな	寒山落木　卷一
杜若畫をうつしたる溝のさび	寒山落木　卷一
やさしくもあやめ咲きけり木曾の山	寒山落木　卷一
一日の旅路しるきや蝸牛	寒山落木　卷一
【蝸牛結字水】	寒山落木　卷一
雨水のしのぶつたふやかたつぶり	寒山落木　卷一
やすんたる日より大工の衣かへ	寒山落木　卷一
うたゝねの本落しけり時鳥	寒山落木　卷一
郭公のきの雫のほつり／＼	寒山落木　卷一
目にちらり木曾の谷間の子規	寒山落木　卷一
ほとゝきす木曾はこの頃山つゝじ	寒山落木　卷一
【輕井澤】	寒山落木　卷一
は萌黄淺黄やほとゝきす	寒山落木　卷一
折りもをり岐岨の旅路を五月雨	寒山落木　卷一
【祈晴】	寒山落木　卷一
はれよ／＼五月もすぎて何の雨	寒山落木　卷一
こと／″＼く團扇破れし熱さ哉	寒山落木　卷一
【都の人を伴ふて郊外に行く】	寒山落木　卷一
春君が代の苗代見せう都人	寒山落木　卷一
ふきかへす簾の下やはすの花	寒山落木　卷一
【ある人のみまかりしをいたみて】	寒山落木　卷一
此上にすわり給へとはすの花	寒山落木　卷一
のびたらで花にみじかきあふひ哉	寒山落木　卷一
屏の上へさきのほりけり花葵	寒山落木　卷一
手水鉢横にころけて苔の花	寒山落木　卷一
【少年の寫眞に題す】	寒山落木　卷一
竹の子のきほひや日に二三寸	寒山落木　卷一
【蟠松子の村莊をいづる時】	寒山落木　卷一
門さきにうつむきあふや百合の花	寒山落木　卷一
眞帆片帆どこまで行くぞ青嵐	寒山落木　卷一
紫陽花や壁のくづれをしぶく雨	寒山落木　卷一
何代の燈籠の苔か雪の下	寒山落木　卷一
【信州山中】	寒山落木　卷一
鶯や野を見下せは早苗とり	寒山落木　卷一
鰻まつ間をいく崩れ雲の峯	寒山落木　卷一
藻の花や鶺鴒の尾のすれ／＼に	寒山落木　卷一
岩のわれめ／＼や山つゝじ	寒山落木　卷一
【舟下岐蘇川】	寒山落木　卷一
下り舟岩に松ありつゝじあり	寒山落木　卷一
【蝉文字結頭】	寒山落木　卷一
腦病の頭にひゞくせみの聲	寒山落木　卷一
せみのなく木かげや馬頭觀世音	寒山落木　卷一
涼しさや行燈消えて水の音	寒山落木　卷一
涼しさや葉から葉へ散る蓮の露	寒山落木　卷一
夕立や松とりまいて五六人	寒山落木　卷一
思ひよらぬ木末の聲やくらべ馬	寒山落木　卷一
夕顏の露に裸の男かな	寒山落木　卷一
雨乞の中の一人やわたし守	寒山落木　卷一
【梦中清水といふ題を得て】	寒山落木　卷一
夕立の過ぎて跡なき清水哉	寒山落木　卷一
ラムネの栓天井をついて時鳥	寒山落木　卷一
明治廿四年秋	寒山落木　卷一
時候人事天文地理	寒山落木　卷一
ふつくりと七面鳥のたつや秋	寒山落木　卷一
鷄のゆかへ上りぬ秋のくれ	寒山落木　卷一
床の間の達磨にらむや秋のくれ	寒山落木　卷一
【達磨圖】	寒山落木　卷一
何と見たぬしの心ぞあきのくれ	寒山落木　卷一
草も木も竹も動くやけさの秋	寒山落木　卷一
【あるおそろしき女を】	寒山落木　卷一
稻妻のかほをはしるやのくれ	寒山落木　卷一
案山子ものいはゞ猶さびしいそ秋の暮	寒山落木　卷一
をかしうに出來てかゞしの哀也	寒山落木　卷一
汝かゞしそもさんか秋の第一義	寒山落木　卷一
送火や朦朧として佛だち	寒山落木　卷一
送火や灰空に舞ふ秋の風	寒山落木　卷一
秋もはや七日の月のたのもしき	寒山落木　卷一
さる程に秋とはなりぬ風の音	寒山落木　卷一
高黍や百姓涼む門の月	寒山落木　卷一
並松はまばら／＼や三日の月	寒山落木　卷一
【三津いけすにて】	寒山落木　卷一
初汐や帆柱ならぶ垣の外	寒山落木　卷一
蒔繪なんぞ小窓の月に雁薄	寒山落木　卷一
【畑中村老松】	寒山落木　卷一
順禮の夢をひやすや松の露	寒山落木　卷一
【川の内近藤氏に宿りて】	寒山落木　卷一
もとのともし火動く夜寒哉	寒山落木　卷一
君が代や調子のそろふ落水	寒山落木　卷一
婆いはく梟なけば秋の雨	寒山落木　卷一
名月や松に音ある一軒家	寒山落木　卷一
【留別】	寒山落木　卷一
これ見たか秋に追はるゝうしろ影	寒山落木　卷一
【音頭瀬戸】	寒山落木　卷一
秋風や伊豫へ流るゝ汐の音	寒山落木　卷一
【嚴嶋】	寒山落木　卷一
ゆら／＼と廻廊浮くや秋の汐	寒山落木　卷一
【松山城】	寒山落木　卷一
松山や秋より高き天主閣	寒山落木　卷一
【小豆嶋寒懸】	寒山落木　卷一
頭上の岩をめぐるや秋の雲	寒山落木　卷一
【當年二十五歳】	寒山落木　卷一
痩せたりや二十五年の秋の風	寒山落木　卷一
【待戀】	寒山落木　卷一
待つ夜半や月は障子の三段目	寒山落木　卷一
【十五夜百花園をおとづれしに戸を閉ぢたれば】	寒山落木　卷一
名月や叩かば散らん萩の門	寒山落木　卷一
【龜戸天神】	寒山落木　卷一
秋風やはりこの龜のぶらん／＼	寒山落木　卷一
秋に形あらば糸瓜に似たるべし	寒山落木　卷一
行燈のとゞかぬ松や三日の月	寒山落木　卷一
觀念の耳の底なり秋の聲	寒山落木　卷一
夕月のやゝふくれけり七八日	寒山落木　卷一
薄より萱より細し二日月	寒山落木　卷一
旅寐九年故郷の月ぞあり難き	寒山落木　卷一
【大宮驛の醫師がり行きて】	寒山落木　卷一
大宮に秋さびけらし醫者の顏	寒山落木　卷一
秋の風捨子の聲に似たる哉	寒山落木　卷一
日は西におしこまれけりけふの月	寒山落木　卷一
の秋の雲徃來す不動尊	寒山落木　卷一
原中や野菊に暮れて天の川	寒山落木　卷一
順禮は花のうてなと歌ひけり秋の暮	寒山落木　卷一
児二人並んで寐たる夜寒哉	寒山落木　卷一
二軒家は二軒とも打つ砧哉	寒山落木　卷一
月の秋菊の秋それらも過ぎて暮の秋	寒山落木　卷一
神さびて秋さびて上野さびにけり	寒山落木　卷一
一つ家に泣聲まじる砧哉	寒山落木　卷一
狼の人くひに出る夜寒哉	寒山落木　卷一
【岡山後樂園三句】	寒山落木　卷一
鶴一つ立つたる秋の姿哉	寒山落木　卷一
はつきりと垣根に近し秋の山	寒山落木　卷一
秋さびた石なら木なら二百年	寒山落木　卷一
【豐橋客舍】	寒山落木　卷一
次の間に唄ひ女の泣く夜長哉	寒山落木　卷一
【歸京】	寒山落木　卷一
都には何事もなし秋の風	寒山落木　卷一
【犬骨を得たり】	寒山落木　卷一
風を秋と聞く時ありて犬の骨	寒山落木　卷一
【常盤會寄宿舍二號室にて】	寒山落木　卷一
火ちら／＼足もとはしる秋の風	寒山落木　卷一
【川越客舍】	寒山落木　卷一
砧うつ隣に寒きたひね哉	寒山落木　卷一
猿曳は妻も子もなし秋のくれ	寒山落木　卷一
猿ひきを猿のなぶるや秋のくれ	寒山落木　卷一
秋のくれ壁見るのでもなかりけり	寒山落木　卷一
【贈高濱虚子】	寒山落木　卷一
三日月はたゞ明月のつぼみ哉	寒山落木　卷一
稻妻に行きあたりたる闇夜哉	寒山落木　卷一
どこで引くとしらで廣がる鳴子哉	寒山落木　卷一
廿四年秋動物	寒山落木　卷一
秋の蚊や親にもらふた血をわけん	寒山落木　卷一
横窓は嵯峨の月夜や蟲の聲	寒山落木　卷一
浮樽や小嶋ものせて鰯引	寒山落木　卷一
辻君のたもとに秋の螢かな	寒山落木　卷一
小男鹿の通ひ路狹し萩の風	寒山落木　卷一
鮎や小石／＼に行きあたり	寒山落木　卷一
秋のくれ鱸を釣れば面白し	寒山落木　卷一
あぜ道や稻をおこせば螽飛ぶ	寒山落木　卷一
秋の蚊を追へどたわいもなかりけり	寒山落木　卷一
日にさらす人の背中や秋の蠅	寒山落木　卷一
鈴蟲や露をのむこと日に五升	寒山落木　卷一
忘れたる笠の上なり石たゝき	寒山落木　卷一
蜩や椎の實ひろふ日は長き	寒山落木　卷一
蜻蛉やりゝととまつてついと行	寒山落木　卷一
わびしげに臑をねぶるや秋の蠅	寒山落木　卷一
追ひつめた鶺鴒見えず溪の景	寒山落木　卷一
廿四年秋植物	寒山落木　卷一
これ程の秋を薄のおさえけり	寒山落木　卷一
三日月の重みをしなふすゝきかな	寒山落木　卷一
石上の梦をたゝくや桐一葉	寒山落木　卷一
見てをればつひに落ちけり桐一葉	寒山落木　卷一
【山姥の圖】	寒山落木　卷一
奧山や秋はと問へばすゝきかな	寒山落木　卷一
朝のひるまでさいて秋の行	寒山落木　卷一
折れもせで凋む木槿の哀れなり	寒山落木　卷一
馬つなぐ綱にこかるゝ木槿かな	寒山落木　卷一
そよ／＼とすゝき動くや晴るゝ霧	寒山落木　卷一
蜑か家のかこひもなしに蘆の花	寒山落木　卷一
【菊慈童圖】	寒山落木　卷一
九日も知らぬ野菊のさかり哉	寒山落木　卷一
城あとや石すえわれて蓼の花	寒山落木　卷一
はちわれて實をこぼしたる柘榴哉	寒山落木　卷一
氣車路や百里餘りを稻の花	寒山落木　卷一
奧山やうねりならはぬ萩のはな	寒山落木　卷一
萩薄秋を行脚のいのちにて	寒山落木　卷一
さいてや赤しイ	寒山落木　卷一
葉も花になつてしまうか珠沙花	寒山落木　卷一
一、二を生し二、三を生す我亦香	寒山落木　卷一
【大宮氷川公園】	寒山落木　卷一
ふみこんで歸る道なし萩の原	寒山落木　卷一
葛花や何を尋ねてはひまわる	寒山落木　卷一
行く秋のふらさかりけり烏瓜	寒山落木　卷一
石女の鬼燈ちぎる哀れ也（嵐雪の句に石女の雛かしつくそ哀也）	寒山落木　卷一
【氷川公園万松樓】	寒山落木　卷一
ぬれて戻る犬の背にもこぼれ萩	寒山落木　卷一
一句なかるべからずさりとてはこの萩の原	寒山落木　卷一
何の思ひ内にあればや蕃椒	寒山落木　卷一
まいた餌にもどる菊畠	寒山落木　卷一
武藏野に月あり芒八百里	寒山落木　卷一
夕日さす紅葉の中に小村哉	寒山落木　卷一
痩村と思ひの外の紅葉哉	寒山落木　卷一
【十月廿四日平塚より子安に至る道に日暮て】	寒山落木　卷一
稻の香や闇に一すぢ野の小道	寒山落木　卷一
【翌廿五日大山に上りて】	寒山落木　卷一
野菊折る手元に低し伊豆の嶋	寒山落木　卷一
一枝は荷にさしはさむ菊の花	寒山落木　卷一
隣からそれて落ちけり桐一葉	寒山落木　卷一
葉かく子に茸の名を尋けり	寒山落木　卷一
順禮の木にかけて行く落穗哉	寒山落木　卷一
明治廿四年冬	寒山落木　卷一
鐘つきはさびしがらせたあとさびし	寒山落木　卷一
【人之性善】	寒山落木　卷一
濁り井の氷に泥はなかりけり	寒山落木　卷一
枯や木はみな落ちて壁の骨	寒山落木　卷一
小烏の鳶なぶりゐる小春哉	寒山落木　卷一
【（はせを忌）】	寒山落木　卷一
頭巾きて老とよばれん初しくれ	寒山落木　卷一
三日月を相手にあるく枯野哉	寒山落木　卷一
秋ちらほら野菊にのこる枯野哉	寒山落木　卷一
冬かれや田舍娘のうつくしき	寒山落木　卷一
夕日負ふ六部背高き枯野哉	寒山落木　卷一
埋火や隣の咄聞てゐる	寒山落木　卷一
雲助の睾丸黒き榾火哉	寒山落木　卷一
小春日や淺間の煙ゆれ上る	寒山落木　卷一
枯やあら緒くひこむ菅の笠	寒山落木　卷一
順禮の笠を霰のはしりかな	寒山落木　卷一
【松山百穴】	寒山落木　卷一
神の代はかくやありけん冬籠	寒山落木　卷一
笹の葉のみだれ具合や雪模樣	寒山落木　卷一
しばらくは笹も動かず雪模樣	寒山落木　卷一
冬動物	寒山落木　卷一
水鳥の四五羽は出たり枯尾花	寒山落木　卷一
枯あしの折れこむ舟や石たゝき	寒山落木　卷一
鴨ねるや舟に折れこむ枯尾花	寒山落木　卷一
千鳥なく灘は百里の吹雪哉	寒山落木　卷一
水鳥のすこしひろがる日なみ哉	寒山落木　卷一
枯あしの雪をこほすやをしのはね	寒山落木　卷一
鷹狩や陣笠白き人五人	寒山落木　卷一
耳つくや下より上へさす夕日	寒山落木　卷一
賈島痩せ孟郊寒し雪の梅	寒山落木　卷一
枯あしや名もなき川の面白き	寒山落木　卷一
馬の尾に折られ／＼て枯尾花	寒山落木　卷一
【田舍】	寒山落木　卷一
わらんべの酒買ひに行く落葉哉	寒山落木　卷一
順禮一人風の落葉に追はれけり	寒山落木　卷一
笘の霜夜の間にちりし紅葉哉	寒山落木　卷一
明治廿五年	寒山落木　卷一
（廿五年）新年	寒山落木　卷一
【御題旭出山】	寒山落木　卷一
不盡赤し筑波を見れは初日の出	寒山落木　卷一
【元日戀課題】	寒山落木　卷一
初日の出隣のむすめお白粉未だつけず	寒山落木　卷一
死ぬものと誰も思はず花の春	寒山落木　卷一
御降の氷の上にたまりけり	寒山落木　卷一
【簔一枚笠一個簔は房州の雨にそほち笠は川越の風にされたるを床の間にうや／＼しく飾りて】	寒山落木　卷一
簔笠を蓬莱にして草の庵	寒山落木　卷一
小松曳袴の泥も畫にかゝん	寒山落木　卷一
【義農神社】	寒山落木　卷一
初も知るや義農の米の恩	寒山落木　卷一
元朝や皆見覺えの紋處	寒山落木　卷一
【乞食】	寒山落木　卷一
元朝や米くれさうな家はどこ	寒山落木　卷一
若水や瓶の底なる去年の水	寒山落木　卷一
烏帽子着て幣ふる猿や花の春	寒山落木　卷一
遣羽子をつき／＼よける車哉	寒山落木　卷一
一羽來て屋根にもなくや初烏	寒山落木　卷一
蓬莱の山を崩すや嫁が君	寒山落木　卷一
蓬莱の松にさしけり初日の出	寒山落木　卷一
年玉に上の字を書く試筆哉	寒山落木　卷一
うつかりと元日の朝の長寢哉	寒山落木　卷一
元日と知らぬ鼾の高さかな	寒山落木　卷一
君が春箒に掃ふ塵もなし	寒山落木　卷一
袴着て火ともす庵や花の春	寒山落木　卷一
烏帽子着る世ともならばや花の春	寒山落木　卷一
春時候人事	寒山落木　卷一
涅槃會や蚯蚓ちきれし鍬の先	寒山落木　卷一
かゝり凧奴は骨となつてけり	寒山落木　卷一
鶯の目を細うする餘寒かな	寒山落木　卷一
虻の影障子にうなる日永かな	寒山落木　卷一
鶯の根岸はなるゝ日永かな	寒山落木　卷一
【追善】	寒山落木　卷一
鳴さして鶯むせふ餘寒哉	寒山落木　卷一
【織女圖】	寒山落木　卷一
